a	а
accusatory	звинувачувальний
accuse	звинувачувати
accused	обвинувачений
accuses	звинувачує
accustom	привчати
accustomed	звикли
accustoming	привчаючи
accustoms	звикає
ace	туз
acephalous	ацефальний
acerbate	загострений
acerbity	чіткість
aces	тузи
acetaminophen	ацетамінофен
acetate	ацетат
acetic	оцтовий
acetify	оцінювати
acetone	ацетон
acetous	оцтовий
acetyl	ацетил
acetylene	ацетилен
ache	болить
ached	боліло
aches	болі
achievable	досяжна
achieve	досягти
achieved	досягнуто
achievement	досягнення
achievements	досягнення
achievers	досягнення
achieves	досягає
achieving	досягнення
aching	ниючий
achromatic	ахроматичний
acid	кислота
acid test	кислотний тест
acidic	кислий
acidify	підкисляти
acidities	кислотності
acidity	кислотність
acidosis	ацидоз
acids	кислоти
acidulate	підкислити
acidulous	кислий
acknowledge	визнати
acknowledged	визнав
acknowledgement	визнання
acknowledgements	визнання
acknowledges	визнає
acknowledging	визнання
acknowledgment	визнання
acme	акме
acne	вугрі
acolyte	аколіт
acolytes	аколіти
aconite	аконіт
acorn	жолудь
acorns	жолудів
acoustic	акустичний
acoustical	акустичний
acoustics	акустика
acquaint	знайомити
acquaintance	знайомство
acquaintances	знайомі
acquainted	знайомі
acquainting	знайомство
acquaints	знайомить
acquiesce	примирення
acquiescence	згодність
acquiescent	покірливий
acquiesces	згоди
acquiescing	примирення
acquire	набувати
acquired	набутий
acquirement	придбання
acquirements	придбання
acquires	набуває
acquiring	придбання
acquisition	придбання
acquisitions	придбання
acquisitive	придбання
acquit	виправдання
acquits	виправдає
acquittal	виправдувальний вирок
acquittals	виправдувальні вироки
acquitted	виправданий
acquitting	виправдання
acre	акр
acreage	площа
acres	десятини
acrid	гострий
acridity	гострота
acrimonious	гострий
acrimony	гострота
acrobat	акробат
acrobatic	акробатичні
acrobatics	акробатика
acrobats	акробати
acronym	абревіатура
acronyms	абревіатури
acrophobia	акрофобія
acropolis	акрополь
across	поперек
acrostic	акростичний
acrylic	акрил
act	діяти
act of god	діяння бога
act up	вередувати
acted	діяли
acting	в.о.
actinic	актинічні
actinium	актиній
action	дії
actionable	дієвий
actions	дії
activate	активувати
activated	активовано
activates	активує
activating	активізуючий
activation	активація
activations	активації
active	активний
activeness	активність
activism	активізм
activist	активіст
activists	активісти
activities	діяльність
activity	діяльності
actor	актор
actors	актори
actress	актриса
actresses	актриси
acts	актів
actual	фактичний
actualisation	актуалізація
actualise	актуалізувати
actualised	актуалізовані
actualises	реалізується
actualising	актуалізація
actualities	актуальності
actuality	актуальність
actualization	актуалізація
actualize	актуалізувати
actually	насправді
actuaries	актуарії
actuary	актуарій
actuate	актуалізувати
actuates	спрацьовує
acuity	гострота
acumen	хмільність
acuminate	загострений
acupuncture	голкорефлексотерапія
acute	гострий
acutely	гостро
acuteness	гострота
acutest	гострий
ad	оголошення
adage	прислів&#x27;&#x27;я
adages	пристосовується
adagio	адажіо
adagios	адагіос
adamant	непохитний
adamantine	адамантин
adapt	адаптувати
adaptable	пристосований
adaptation	адаптація
adaptation	адаптація
adaptations	пристосування
adapted	адаптований
adapter	перехідник
adapters	перехідники
adapting	пристосування
adaptive	адаптивний
adaptor	перехідник
adaptors	перехідники
adapts	адаптує
add	додати
add up	складати
addax	додаток
added	додано
addendum	доповнення
adder	суматор
adders	добавки
addict	наркоман
addicted	залежним
addicting	звикання
addiction	залежність
addictions	залежності
addictive	звикання
addicts	наркомани
adding	додавання
addition	доповнення
additional	додаткові
additionally	додатково
additions	доповнення
additive	добавка
additives	добавки
addle	присадку
addled	приборканий
addles	присадки
addling	прикорм
address	адреса
addressed	адресований
addressee	адресат
addressees	адресатів
addresses	адреси
addressing	адресація
adds	додає
adduce	додавати
adduced	доданий
adduces	подавати
adducing	приєднання
adenoids	аденоїди
adenosine	аденозин
adenovirus	аденовірус
adept	адепт
adeptness	спритність
adepts	адептів
adequacies	адекватності
adequacy	адекватність
adequate	адекватний
adhere	дотримуватися
adhered	дотримуватися
adherence	прихильність
adherent	прихильник
adherents	прихильники
adheres	прилипає
adhering	прилипання
adhesion	адгезія
adhesive	клей
adhesiveness	клейкість
adhesives	клеї
adieu	прощання
adipose	жирний
adiposity	ожиріння
adit	Адіт
adjacency	суміжність
adjacent	сусідній
adjectival	дієприкметник
adjective	прикметник
adjectives	прикметники
adjoin	примикати
adjoined	примикав
adjoining	примикання
adjoins	примикає
adjourn	перерва
adjourned	відкладений
adjourning	відкладення
adjournment	відкладення
adjourns	відкладення
adjudge	судження
adjudged	винесений
adjudicate	рішення
adjudicated	винесено рішення
adjudicating	винесення рішення
adjudication	рішення
adjudications	рішення
adjudicator	суддя
adjunct	доповнення
adjunction	приєднання
adjuncts	доповнення
adjure	налаштовувати
adjured	налагоджений
adjures	коригує
adjuring	налаштування
adjust	коригувати
adjustable	регульований
adjusted	скоригований
adjuster	регулювач
adjusters	регулювачі
adjusting	коригування
adjustment	коригування
adjustments	коригування
adjusts	коригує
adjutant	ад&#x27;&#x27;ютант
adjutant bird	птах ад&#x27;&#x27;ютант
adjutants	ад&#x27;&#x27;ютанти
adjuvant	ад&#x27;&#x27;ювант
adman	адман
administer	адмініструвати
administered	вводиться
administering	адміністрування
administers	адмініструє
administrate	адмініструвати
administrates	адмініструє
administrating	адміністрування
administration	адміністрація
administrations	адміністрації
administrative	адміністративний
administrator	адміністратор
administrators	адміністраторів
administratrix	жінка-адміністратор
admirable	чудовий
admiral	адмірал
admirals	адмірали
admiralty	адміралтейство
admiration	захоплення
admirations	захоплення
admire	милуватися
admired	захоплювався
admirer	шанувальник
admirers	шанувальники
admires	захоплюється
admiring	милування
admissible	допустимий
admission	вступ
admissions	вступ
admit	визнати
admits	визнає
admittance	вступ
admitted	зізнався
admittedly	зізнається
admitting	визнати
admix	адмікс
admixed	змішаний
admixes	домішки
admixture	домішка
admonish	нарікати
admonished	заповідав
admonisher	наглядач
admonishes	наказує
admonishing	покарання
admonishment	застереження
admonishments	застереження
admonition	нарікання
admonitions	нарікання
admonitory	вказівний
ado	прихильність
adobe	гнучко
adolescence	підлітковому віці
adolescent	підлітковий
adolescents	підлітків
adonis	адоніс
adopt	прийняти
adopted	прийнято
adopter	усиновлювач
adopters	усиновлювачі
adopting	прийняття
adoption	усиновлення
adoptions	усиновлення
adoptive	усиновлювач
adopts	приймає
adorable	чарівні
adoration	обожнення
adore	обожаю
adored	обожнювали
adorer	обожнювач
adores	обожнює
adoring	обожнення
adorn	прикрашати
adorned	прикрашений
adorning	прикрашати
adornment	прикраса
adornments	прикраси
adorns	прикрашає
adrenal	наднирник
adrenalin	адреналін
adrenaline	адреналін
adrift	приплив
adroit	моторний
adroitness	спритність
ads	оголошення
adsorb	адсорбувати
adulate	адулювати
adulation	прихильність
adulations	прихильності
adulator	прихильник
adulatory	адуляційний
adult	дорослий
adulterant	перелюбний
adulterate	перелюбити
adulterated	підробити
adulterates	перелюбні
adulterating	перелюб
adulteration	перелюб
adulterator	перелюбник
adulterer	перелюбник
adulterers	перелюбники
adulteress	перелюбниця
adulteresses	перелюбниць
adulterous	перелюбний
adultery	перелюб
adulthood	зрілості
adults	дорослі
adumbrate	хизуватися
adumbrates	хизується
adumbrating	химерний
adumbration	прихисток
adust	порив
advance	заздалегідь
advance guard	заздалегідь охоронець
advanced	передовий
advancement	просування
advancements	просування
advances	аванси
advancing	просування
advantage	перевага
advantaged	перевага
advantageous	вигідний
advantages	переваги
advantaging	перевагу
advent	поява
adventitious	авантюрний
adventure	пригода
adventured	пригод
adventurer	авантюрист
adventurers	авантюристи
adventures	пригод
adventuresome	пригодницький
adventuress	пригод
adventuresses	пригод
adventuring	пригод
adventurism	авантюризм
adventurous	авантюрний
adventurousness	авантюрність
adverb	прислівник
adverbial	прислівник
adverbs	прислівники
adversaries	супротивники
adversary	супротивник
adversative	прислівник
adverse	несприятливі
adversities	негаразди
adversity	негаразди
advert	реклама
adverted	оголошений
advertent	прибічний
advertently	прихильно
adverting	реклама
advertise	рекламувати
advertised	рекламується
advertisement	реклама
advertisements	рекламні оголошення
advertiser	рекламодавця
advertisers	рекламодавці
advertises	рекламує
advertising	реклама
adverts	реклами
advice	порада
advisability	доцільність
advisable	доцільно
advise	порадити
advised	порадив
advisedly	доцільно
advisees	радить
adviser	радник
advisers	радники
advises	радить
advising	консультування
advisor	радник
advisors	радників
advisory	дорадчий
advocacy	адвокація
advocate	адвокат
advocated	виступав
advocates	прихильники
advocating	адвокація
adz	струг
adze	струг
aegis	аеги
aeon	еон
aeons	еони
aerate	аерувати
aerated	газовані
aerates	аерати
aerating	аерація
aerial	повітряна
aerialist	аерофоніст
aerials	антени
aerie	аерія
aero	аеро
aerobatics	пілотаж
aerobe	аеробний одяг
aerobic	аеробний
aerobics	аеробіка
aerodrome	аеродром
aerodynamics	аеродинаміка
aerofoil	підводний покрив
aerolite	аероліт
aeronaut	повітроплавця
aeronautic	повітроплавання
aeronautical	повітроплавання
aeronautics	повітроплавання
aeroplane	літак
aeroplanes	літаки
aerosol	аерозоль
aerosols	аерозолі
aerospace	аерокосмічний
aesthete	естет
aesthetes	естети
aesthetic	естетичний
aesthetical	естетичний
aesthetician	естетик
aestheticism	естетизм
aesthetics	естетика
aetiologies	етіології
aetiology	етіологія
afar	здалеку
affability	привітність
affable	привітний
affably	приємно
affair	справа
affaire	справа
affairs	справи
affect	впливати
affectation	афектація
affectations	очікування
affected	постраждалих
affecting	впливаючи
affectingly	афективно
affection	прихильність
affectionate	ласкавий
affections	афектів
affective	афективний
affects	впливає
afferent	аферентний
affiance	прихильність
affianced	прихильний
affidavit	твердження
affidavits	твердження
affiliate	філія
affiliated	афілійований
affiliates	філії
affiliating	приєднання
affiliation	приналежність
affiliations	приналежності
affine	афінний
affined	споріднений
affinities	спорідненості
affinity	спорідненість
affirm	стверджувати
affirmation	утвердження
affirmations	твердження
affirmative	стверджувальний
affirmed	стверджується
affirming	стверджуючи
affirms	стверджує
affix	афікс
affixed	прикріплений
affixes	афікси
afflatus	афлатус
afflict	страждання
afflicted	страждання
afflicting	страждання
affliction	страждання
afflictions	страждання
afflicts	страждання
affluence	достаток
affluent	заможні
afflux	приплив
afford	дозволити собі
affordable	доступний за ціною
afforded	дозволено
affording	дозволення
affords	надає
afforest	заліснення
affray	злякатися
affright	щиро
affront	нападати
affronted	здивований
affronting	протистояння
affronts	афіни
afghan	афганський
afghani	афгані
afghans	афганці
aficionado	прихильник
aficionados	прихильники
afield	на полі
afire	вогонь
aflame	полум&#x27;&#x27;я
afloat	на плаву
afoot	на ногах
afore	вище
aforementioned	вищезгадане
aforenamed	вищеназваний
aforesaid	вищезгадане
aforethought	попередньо продуманий
afraid	боїться
afresh	заново
afro	афро
aft	в кормі
after	після
afterbirth	після народження
aftercare	догляд за ними
afterglow	післясвічення
afterlife	загробне життя
aftermath	наслідки
afternoon	вдень
afternoons	вдень
afters	наслідки
aftershave	після гоління
aftershock	штуршок
aftershocks	афтершоки
afterthought	задумливість
afterthoughts	думки
afterward	згодом
afterwards	згодом
again	знову
again and again	знову і знову
against	проти
agamic	агамічний
agamous	агамний
agape	агапе
agate	агат
agates	агати
age	вік
aged	у віці
ageing	старіння
ageless	віковий
agencies	агентства
agency	агентство
agenda	порядок денний
agendas	порядок денний
agent	агент
agents	агенти
ages	віків
agglomerate	агломерат
agglomerated	агломерований
agglomerates	агломерати
agglomeration	агломерація
agglutinate	агглютинату
agglutinated	аглютинований
agglutinating	аглютинація
aggrandisement	посилення
aggrandisements	посилення
aggrandize	загострювати
aggrandizement	посилення
aggravate	загострювати
aggravated	посилюється
aggravates	обтяжує
aggravating	обтяжуючі
aggravation	загострення
aggravations	загострення
aggregate	сукупність
aggregated	агреговані
aggregates	агрегати
aggregating	агрегування
aggregation	агрегація
aggregations	агрегації
aggregative	сукупний
aggress	агресія
aggression	агресія
aggressions	агресії
aggressive	агресивний
aggressively	агресивно
aggressiveness	агресивність
aggressor	агресора
aggressors	агресорів
aggrieve	погіршити
aggrieved	засмучений
aggrieves	погіршує
aggrieving	страждання
aggro	агро
aghast	агаст
agile	спритний
agility	спритність
aging	старіння
agiotage	ажіотаж
agitate	агітувати
agitated	схвильований
agitates	агітати
agitating	агітуючи
agitation	агітація
agitations	агітації
agitator	мішалка
agitators	агітатори
agitprop	агітпроп
aglow	горіти
agnail	анігль
agnate	агат
agnation	агітація
agnostic	агностик
agnostical	агностичний
agnosticism	агностицизм
agnostics	агностики
ago	тому
agog	Агог
agonies	агонії
agonise	агонізувати
agonised	агонізований
agonises	агонізи
agonising	мучний
agonists	агоністи
agonize	агонізувати
agonized	агонізований
agonizing	мучний
agonizingly	агоністично
agony	агонія
agora	агора
agoraphobia	агорафобія
agrarian	аграрний
agree	згоден
agreeable	приємний
agreeableness	приємність
agreeably	приємно
agreed	домовились
agreeing	погоджуючись
agreement	угоду
agreements	угод
agricultural	сільськогосподарські
agriculturalist	сільськогосподарський діяч
agriculturalists	аграрії
agriculture	землеробство
agriculturist	сільськогосподарський
agronomic	агрономічний
agronomical	агрономічний
agronomy	агрономія
aground	земля
ague	ганьба
ah	ах
aha	ага
ahead	попереду
ahem	гм
ahoy	ахой
aid	допомогу
aide	помічник
aided	допомога
aides	помічники
aiding	сприяння
aids	допоміжні засоби
aigrette	егрет
aiguille	шпиляста вершина
ail	хвороба
ailed	боляче
ailing	хворий
ailment	недуга
ailments	недуги
ails	хвороби
aim	мета
aimed	спрямований
aiming	націлювання
aimless	безцільний
aims	цілей
air	повітря
air bladder	повітряний міхур
air miles	повітряні милі
air strip	повітряна смуга
airborne	повітряні
airbrush	аерограф
airbus	аеробус
aircraft	літальний апарат
aircraftman	авіаносець
aircraftsman	літальний апарат
aired	ефір
airfield	аеродром
airfields	аеродроми
airgun	пневматична зброя
airier	а’єр
airiest	айріст
airily	повітряно
airing	провітрювання
airings	провітрювання
airless	безповітряний
airlift	авіаліфт
airlifts	авіаліфти
airline	авіакомпанія
airliner	авіалайнер
airmail	повітряна пошта
airman	аеродром
airmanship	аеромобільність
airmen	літаки
airplane	літак
airport	аеропорт
airports	аеропорти
airs	повітря
airship	дирижабль
airships	дирижаблі
airspace	повітряний простір
airtight	герметичний
airway	дихальні шляхи
airworthy	льотний
airy	повітряний
aisle	прохід
aisles	проходи
aitch	айч
ajar	прикритий
akimbo	акімбо
akin	схожий
alabaster	алебастр
alack	нестача
alacrity	спритність
alar	тривожний
alarm	тривога
alarmed	насторожений
alarming	тривожний
alarmist	сигналізатор
alarms	тривоги
alarum	тривогу
alary	алар
alas	на жаль
alb	альб
alba	альба
albatross	альбатрос
albeit	хоч і
albino	альбінос
album	альбом
albumen	білок
albumin	альбумін
albuminoid	альбуміноїд
albums	альбоми
alchemic	алхімічні
alchemical	алхімічні
alchemy	алхімія
alcohol	алкоголь
alcohol addiction	алкогольна залежність
alcoholic	алкоголік
alcoholic beverage	алкогольний напій
alcoholics	алкоголіки
alcoholism	алкоголізм
alcoholisms	алкоголізми
alcoholize	алкоголізувати
alcohols	спирти
alcove	альтанка
alcoves	альтанки
alder	вільха
alderman	альдерман
aldermen	вільхові
ale	ель
aleatory	алеаторний
alehouse	алехаус
alembic	колючий
alert	оповіщення
alerted	оповіщений
alerter	оповіщення
alerting	насторожує
alertness	пильність
alerts	оповіщення
alewife	алевіф
alexandrine	александрин
alexandrite	александрит
alfalfa	люцерна
alfresco	альфреско
alga	водорості
algae	водорості
algebra	алгебра
algebraic	алгебраїчний
algebraical	алгебраїчний
algebras	алгебри
algorithm	алгоритм
algorithms	алгоритми
alias	псевдонім
aliased	псевдонім
aliases	псевдоніми
alibi	алібі
alien	інопланетянин
alienable	відчужуваний
alienate	відчужувати
alienated	відчужений
alienates	відчужує
alienating	відчуження
alienation	відчуження
alienist	інопланетянин
aliens	прибульці
alight	світлий
alighted	вивільнений
alighting	висвітлення
align	вирівняти
aligning	вирівнювання
alignment	вирівнювання
alignments	вирівнювання
aligns	вирівнює
alike	однаково
aliment	алімент
alimentary	аліментарний
alimentary canal	аліментарний канал
alimentary tract	аліментарний тракт
alimentation	аліментація
aliments	аліменти
alimony	аліменти
aline	аліне
aliquot	аликвота
alit	виходити
alive	живий
aliveness	жвавість
alkali	лугом
alkalify	лугувати
alkaline	лужні
alkalis	луги
alkaloid	алкалоїд
alkaloids	алкалоїди
all	всі
all over	у всьому
all right!	все гаразд!
all the same	все те саме
all together	всі разом
allah	Аллах
allay	алея
allayed	алеї
allayer	алеї
allaying	алеї
allays	алеї
allegation	твердження
allegations	звинувачення
allege	твердження
alleged	нібито
allegedly	нібито
alleges	звинувачення
allegiance	вірність
allegiances	прихильності
alleging	твердження
allegoric	алегоричний
allegorical	алегоричний
allegories	алегорії
allegory	алегорія
allegro	алегро
allele	алель
alleles	алелі
allergen	алерген
allergic	алергічний
allergies	алергія
allergist	алерголог
allergy	алергія
alleviate	полегшити
alleviated	полегшено
alleviates	полегшує
alleviating	полегшення
alleviation	полегшення
alleviative	полегшує
alley	алея
alleys	алеї
alleyway	алея
alleyways	алеї
alliance	союз
alliances	союзи
allied	союзних
allies	союзників
alligator	алігатор
alligators	алігатори
alliterate	безграмотний
alliteration	алітерація
alliterations	алітерації
alliterative	алітеративний
allocate	виділяти
allocated	виділено
allocates	виділяє
allocating	виділення
allocation	виділення
allocations	асигнування
allopath	алопат
allophones	алофони
allot	виділити
allotment	виділення
allotments	наділи
allots	сплави
allotted	відведено
allottee	алот
allotting	виділення
allow	дозволяють
allowable	допустимий
allowance	надбавка
allowances	надбавки
allowed	дозволено
allowing	дозволяючи
allows	дозволяє
alloy	сплав
alloyed	легований
alloying	легування
alloys	сплави
allude	натякайте
alluded	натякав
alludes	натяки
alluding	натякаючи
allure	заманювати
allured	заманював
allurement	закупівлі
allures	приманки
alluring	заманливо
allusion	алюзія
allusions	алюзії
allusive	нав&#x27;&#x27;язливий
alluvial	алювіальна
alluvion	натяк
alluvium	алювія
ally	союзник
allying	союзник
almagest	альмагест
almanac	альманах
almanacs	альманахи
almighty	всемогутній
almond	мигдаль
almonds	мигдаль
almoner	балончик
almost	майже
alms	милостиня
almshouse	милостиня
aloe	алое
aloes	алое
aloft	нагорі
alogical	алогічний
alone	поодинці
aloneness	самотність
along	уздовж
alongside	поряд
aloof	осторонь
aloofness	віддаленість
alopecia	алопеція
aloud	вголос
alp	альп
alpaca	альпака
alpha	альфа
alphabet	алфавіту
alphabetic	алфавітна
alphabetical	алфавітним
alphabets	алфавітів
alpine	альпійський
alpinist	альпініст
alps	Альпи
already	вже
alright	добре
alright!	добре!
also	також
altar	вівтар
altarpiece	вівтарна частина
altars	вівтарі
alter	змінити
alteration	зміна
alterations	зміни
alterative	змінний
altercate	змінювати
altercation	сварка
altercations	сварки
altered	перероблений
altering	зміна
alternate	чергувати
alternated	чергуються
alternates	чергуються
alternating	чергування
alternative	альтернатива
alternatively	альтернативно
alternatives	альтернативи
alternator	генератор
alters	зміни
although	хоча
altimeter	висотомір
altimeters	висотоміри
altimetry	альтиметрія
altitude	висоту
altitudes	висоти
alto	альт
altogether	взагалі
altos	контральто
altruism	альтруїзм
altruist	альтруїст
altruistic	альтруїстичний
altruists	альтруїсти
alum	галиця
alumina	глинозем
aluminium	алюміній
aluminous	глиноземний
aluminum	алюміній
alumna	випускники
alumni	випускники
alumnus	випускники
alveolar	альвеолярний
alveoli	альвеоли
alveolus	альвеол
always	завжди
am	я
amalgam	амальгама
amalgamate	об&#x27;&#x27;єднувати
amalgamated	об&#x27;&#x27;єднаний
amalgamates	об&#x27;&#x27;єднувати
amalgamating	об&#x27;&#x27;єднання
amalgamation	об&#x27;&#x27;єднання
amalgamations	об&#x27;&#x27;єднання
amalgams	амальгами
amanuenses	боєприпаси
amanuensis	секретар
amaranth	амарант
amaranthine	амарантин
amaryllis	амариліс
amass	накопичувати
amassed	накопичений
amasses	масиви
